trial,timestamp,model_id,status,iou_wu,faultCount_max,faultCount_min,faultCurveMax,faultCurveProb,faultDecaySigma_max,faultDecaySigma_min,faultDipAngle_max,faultDipAngle_min,faultRoughSigma,faultRoughness,faultThreshold,faultThrow_max,faultThrow_min,faultZoneWidth,foldAmplitude_max,foldAmplitude_min,foldBaseShift_max,foldBaseShift_min,foldCount_max,foldCount_min,foldDamping,foldSigma_max,foldSigma_min,layerRange_max,layerRange_min,layerThickness_max,layerThickness_min,noiseLevel_max,noiseLevel_min,shearGradient_max,shearGradient_min,shearOffset_max,shearOffset_min,waveletDt,waveletDuration,waveletFreq_max,waveletFreq_min
44,2026-06-14T22:26:09.103499,model_45,COMPLETE,0.631685,12,6,5.530656509506934,0.5341368238253886,115,63,81,54,9.11244965854105,6.502973365819013,0.6101348921336689,36,15,0.9735918409407062,19,-48,2.996933807955128,-1.287938707358596,31,9,2.261952949290569,32,12,169,33,2,1,0.5214091035723125,0.017484635581103,0.039507136820872,-0.1355004594160156,2.3706981307456205,-10.200942821716485,0.0024427440717965,0.0963389198586932,87,72
45,2026-06-15T00:51:37.868266,model_46,COMPLETE,0.591672,12,6,5.01707379127927,0.6268916091181157,105,65,81,46,8.021745128937399,5.656646390531795,0.6207061221366315,42,14,1.1550963596751798,18,-38,4.122861336475377,-1.931861242172472,37,12,2.65324502971014,29,8,213,39,3,1,0.6699809556965866,0.0100633605551492,0.0308282456154558,-0.1480908646252415,4.450749657933356,-9.876773797020128,0.002575644846915,0.1053711316357424,94,75
46,2026-06-15T03:19:23.447022,model_47,COMPLETE,0.612153,12,6,3.5553181165010304,0.6123069493733767,138,60,79,52,10.72451608274644,6.804387597243584,0.5845246844206511,33,15,1.0170642641798917,16,-32,2.9377831721322765,-1.6917594722037492,27,5,2.1292138199633377,27,4,158,32,3,1,0.5712047251721355,0.0077443321080079,0.0293128504854295,-0.1533442807169148,3.59250911067569,-9.633710556439423,0.002660747087919,0.1142276511871323,97,78
47,2026-06-15T05:44:48.122988,model_48,COMPLETE,0.641842,11,6,6.450620110720937,0.670114039543392,83,57,83,42,9.601643557728815,6.177927811480883,0.5315355721548455,40,14,0.9473671545722984,20,-48,4.387897042017798,-2.654619225793541,31,7,2.3573427880805955,33,13,182,34,2,1,0.6061198642634043,0.012979245957905,0.0303674488166415,-0.1302739247082444,2.669273888941493,-9.417860935078629,0.0021624565373711,0.1089146599266775,101,85
48,2026-06-15T08:14:31.570380,model_49,COMPLETE,0.571056,13,6,1.0074809612107485,0.5771789002440633,120,63,78,45,11.696795032439638,5.986286213943611,0.672059904329897,43,15,0.7158265419834691,16,-40,3.3219814564986163,-1.3356934211694214,34,9,2.542492388301796,39,16,193,32,3,1,0.6228422350402938,0.0047242382019989,0.037893827300604,-0.1409396742955261,5.151042892329851,-10.19057295708276,0.0023611529691635,0.1020044906668952,107,93
49,2026-06-15T10:40:29.867858,model_50,COMPLETE,0.59066,12,6,6.370132042125213,0.5431423212692263,89,54,79,54,8.737783365952419,6.758900273255004,0.5878130134127492,35,14,1.2352723414618485,19,-45,2.39229607970089,-1.6907165387762888,29,4,2.444059414419883,30,10,169,39,2,1,0.5526552600818687,0.0027884874531785,0.0359301110674695,-0.1479597521576888,4.114303737986451,-10.477982583929396,0.0020497249237645,0.0969797480918933,104,82
50,2026-06-15T13:03:24.904063,model_51,COMPLETE,0.572865,11,6,2.591950084249774,0.4894104641108937,141,58,82,47,8.218099324546685,6.415282438864293,0.5410206287964231,37,15,0.8659363740934598,18,-37,2.7057578452532383,-2.4064899718381136,32,12,2.68372793414846,43,10,198,36,3,1,0.5278493973100395,0.0073537531272449,0.0228706715171381,-0.1328679499252034,3.449949015197869,-9.941675926914227,0.0025063029116951,0.093651029433649,88,77
51,2026-06-15T15:28:29.210713,model_52,COMPLETE,0.654061,11,6,6.586671571105571,0.6688454766248996,81,57,83,42,9.497598205577598,6.2233265697528015,0.5046222785562366,39,14,0.9437963014112728,20,-48,4.388162937631384,-2.6914300875660238,31,7,2.343066981144154,33,13,186,34,2,1,0.6069686320653587,0.0119399825715185,0.0299727348826983,-0.1285865261519955,2.6440323031070063,-9.496558475100814,0.0022165623487979,0.1088205851956948,99,85
52,2026-06-15T18:01:21.532163,model_53,COMPLETE,0.64026,11,6,6.625697462467917,0.6494794377505138,77,62,83,43,9.292534907282468,6.270398801469545,0.4879094975056127,40,14,0.8726590065349067,20,-44,3.9347851230115705,-2.5766888012966684,31,6,2.3024628463495342,28,13,150,31,2,1,0.6093344251007144,0.0147506299312773,0.0358027422944404,-0.1434584513806459,2.283500627654941,-9.608905492513014,0.0023877964699741,0.1089805001143835,100,84
62,2026-06-16T02:56:17.325778,model_54,COMPLETE,0.658657,12,6,8.457476180981443,0.4176030104166013,74,46,80,52,9.827702765438133,6.313612801716254,0.6448895367243613,29,14,0.902112681163962,10,-36,4.119259765305709,-0.7699634452654094,39,13,1.4448664217886389,40,17,182,27,4,1,0.5579124821349143,0.01071763405857,0.0226849918164185,-0.1268854549076005,3.289318178896273,-8.961391171415254,0.0019642013112797,0.1048254771109841,93,81
63,2026-06-16T05:23:12.527620,model_55,COMPLETE,0.661777,12,6,8.50898426482881,0.3471504579496517,75,43,79,56,9.913484743274134,6.965454610376137,0.6081544582583839,29,14,0.7912952978434435,9,-35,3.97473347561543,-0.5266587512616131,39,12,1.4585157824914143,37,21,164,26,4,1,0.5713322319713877,0.0101358405743942,0.0151287542777074,-0.121975993120035,2.645254787842478,-9.317259174030998,0.001830630846052,0.1062182740712561,96,74
64,2026-06-16T07:37:43.675082,model_56,COMPLETE,0.609733,9,2,11.332870051804788,0.2552512616796009,61,33,80,56,8.304359892850975,5.372707666248885,0.3889008077265787,42,15,0.7408558977236245,0,-28,3.777901148246289,-0.3347401003386735,50,21,1.1919702955318197,41,15,289,70,2,1,0.5740537486154413,0.0269301245054144,0.0013077439139712,-0.1157040973326729,5.445844989194507,-7.649735020772027,0.0021539108416656,0.0996594181940492,82,64
65,2026-06-16T10:47:52.095578,model_57,COMPLETE,0.559831,12,6,6.249971455010705,0.2213389098803797,80,45,77,65,5.385879579360681,5.924292143378228,0.2436511847079086,36,13,1.4835216092035557,4,-30,4.97669083856564,-0.9967743225108152,41,16,1.0215330593973322,48,27,215,89,3,1,0.5767306343431332,0.0285516848030429,0.0156003045921745,-0.118300423488303,3.226725514187136,-7.68931684867678,0.0012421519387016,0.0927998013110946,96,78
66,2026-06-16T15:12:03.961247,model_58,COMPLETE,0.606236,11,3,13.036545245206137,0.3937556302722446,68,49,81,61,9.601671187664644,4.34826553379044,0.2435319284060128,29,14,1.2516439887929185,-1,-27,3.2227843432154315,-0.2016862415803804,54,10,0.8064697533295573,41,27,296,57,4,1,0.5521321663837686,0.017987574202056,0.0132098362999622,-0.1021475492705837,5.607498774366779,-8.170255102393412,0.0008460389319539,0.0924534026128195,97,82
67,2026-06-16T19:43:48.611729,model_59,COMPLETE,0.600512,11,6,7.864866579247572,0.3187011600961403,66,43,80,57,8.210273183944997,6.038779139881455,0.5569133509629849,32,15,0.6515148329030798,7,-34,3.5589866218423376,-0.4403389453766836,39,10,1.2235907004663236,41,24,220,39,4,1,0.5605987442548135,0.0128297443216292,0.0125232286894943,-0.1221488583311406,3.14052854567417,-8.630647341929585,0.0012894888837415,0.0997307318210981,105,85
